CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
1331-61-9,Ammonium dodecylbenzenesulphonate (C12),Oxidizing solids - Classification not possible (as a solid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-82-0,Chromium trioxide,Oxidizing solids - Category 2,,,,"Classified as ""Division 5.1: oxidizing substances"" by UN Recommendations on the Transport of Dangerous Goods. It can, however, be included in Category 2 or 3, given the fact that it has subsidiary risks corresponding to Division 6.1 and Class 8 and is assigned to Packing Group II (UN#1493). The substance is placed in Category 2 from the viewpoint of safety.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-86-4,Carbon black,Oxidizing solids - Not applicable(Materials of animal or vegetable origin and mineral origin),-,-,-,"Containing no oxygen , chlorine and fluorine.","Jun. 20, 2006"
13477-00-4,barium chlorate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1445, Class: 5.1(6.1); PG II.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
14275-57-1,"(Z)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Oxidizing solids - Classification not possible (as a solid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
17014-71-0,dipotassium peroxide,Oxidizing solids - Category 1,Flame over circle,Danger,May cause fire or explosion; strong oxidizer,UNRTDG Class: 5.1; PG I,"May 24, 2006 (Environmental Hazards: Mar. 23, 2006)"
2155-70-6,Tributyl(methacryloyloxy)stannane,Oxidizing solids - Classification not possible (as a solid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen ","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
23414-72-4,zinc permanganate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1515, Class: 5.1; PG II.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
25167-80-0,chlorophenol,"Oxidizing solids - Not applicable (o, m, p-)",-,-,-,"Organic compounds containing oxygen and chlorine (but not fluorine) and the oxygen and chlorine are chemically bonded only to carbon and hydrogen (but not to other elements) (meta, para). Liquid (GHS definition) (ortho).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
25496-01-9,Tridecylbenzenesulphonic acid (C13),Oxidizing solids - Not classified (solid),,,,Organic compounds containing oxygen bound to the elements other than carbon and hydrogen. Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods).,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
26239-64-5,"[1R-(1alpha,4abeta,4balpha,10aalpha)]-Tributyl[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethyl-1-phenanthryl]carbonyl]oxy]stannane",Oxidizing solids - Classification not possible (as a solid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
27176-87-0,Dodecylbenzenesulphonic acid (C12),Oxidizing solids - Not classified (solid),,,,Organic compounds containing oxygen bound to the elements other than carbon and hydrogen. Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
