CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
12122-67-7,"Zinc N,N'-ethylenebis(dithiocarbamate); Zineb",Oxidizing liquids,Not applicable,,,,"Classified as ""solid"" according to GHS definition","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
12125-01-8,Ammonium fluoride,Oxidizing liquids,Not applicable,,,,"Classified as ""solid"" according to GHS definition","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
12125-02-9,Ammonium chloride,Oxidizing liquids,Not applicable,-,-,-,Solid (GHS definition),"May 24, 2006 (Environmental Hazards: Feb. 20, 2007)"
12174-11-7,Palygorskite,Oxidizing liquids,Not applicable,-,-,-,Solid,2009.3.31
12185-10-3,Phosphorus (yellow),Oxidizing liquids,Not applicable,-,-,-,Solid (GHS definition),"Mar. 23, 2006"
122-34-9,"2-chloro-4,6-bis(ethylamino)-1,3,5-triazine",Oxidizing liquids,Not applicable,,,,"Classified as ""solid"" according to GHS definition ","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
122-39-4,Diphenylamine,Oxidizing liquids,Not applicable,,,,"Classified as ""solid"" according to GHS definition","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
122-60-1,"2,3-Epoxypropyl phenyl ether",Oxidizing liquids,Not applicable,,,,"Organic compounds containing oxygen (but not fluorine and chlorine), with the oxygen bound to carbon and hydrogen (but not to other elements)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
122008-85-9,butyl (R)-2-[4-(4-cyano-2-fluorophenoxy)phenoxy]propionate,Oxidizing liquids,Not applicable,,,,"Classified as ""solid"" according to GHS definition ","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
12202-17-4,Lead oxide sulfate  (Pb4O3(SO4)),Oxidizing liquids,Not applicable,-,-,-,Solid (GHS definition),"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
12208-13-8,potassium hexahydroxoantimonate,Oxidizing liquids,Not applicable,-,-,-,Solid (GHS definition),"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
12214-12-9,dicadmium selenide sulphide,Oxidizing liquids,Not applicable,-,-,-,Solid (GHS definition),"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
12279-90-2,Tetraarsenic tetrasulfide,Oxidizing liquids,Not applicable,-,-,-,Solid (GHS definition),"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-19-3,heptan-4-one,Oxidizing liquids,Not applicable,-,-,-,Organic compounds containing oxygen (but not chlorine and fluorine) chemically bonded only to carbon and hydrogen (but not to other elements).,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-30-8,p-Aminophenol,Oxidizing liquids,Not applicable,,,,"Classified as ""solid"" according to GHS definition ","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-31-9,Hydroquinone,Oxidizing liquids,Not applicable,,,,"Classified as ""solid"" according to GHS definition","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-42-2,Diacetone alcohol,Oxidizing liquids,Not applicable,-,-,-,Organic compounds containing oxygen chemically bonded only to carbon and hydrogen (but not to other elements).,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-51-3,3-Methylbutan-1-ol,Oxidizing liquids,Not applicable,-,-,-,Organic compounds containing oxygen (but not chlorine and fluorine) chemically bonded only to carbon and hydrogen (but not to other elements).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
123-86-4,Butyl acetate,Oxidizing liquids,Not applicable,-,-,-,Organic compounds containing oxygen chemically bonded only to carbon (but not to other elements).,"Feb. 20, 2007 (Environmental Hazards: Nov. 20, 2006)"
123-91-1,"1,4-Dioxane",Oxidizing liquids,Not applicable,,,,"Organic compounds containing oxygen (but not fluorine and chlorine), with the oxygen bound to carbon and hydrogen (but not to other elements)","Sep. 20, 2006 (Environmental Hazards: Feb. 10, 2006)"
123-92-2,isopentyl acetate,Oxidizing liquids,Not applicable,-,-,-,Organic compounds containing oxygen (but not chlorine and fluorine) chemically bonded only to carbon (but not to other elements).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
123-96-6,2-Octanol,Oxidizing liquids,Not applicable,-,-,-,Organic compounds containing oxygen (but not chlorine and fluorine) chemically bonded only to carbon and hydrogen (but not to other elements).,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
124-04-9,Adipic acid,Oxidizing liquids,Not applicable,-,-,-,Solid (GHS definition),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
