CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
119168-77-3,N-(4-tert-Butylbenzyl)-4-chloro-3-ethyl-1-methylpyrazole-5-carboxamide; Tebufenpyrad,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 61-62degC (Agricultural Chemical Registration Data)). ,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
15972-60-8,"2-chloro-2',6'-diethyl-N-(methoxymethyl)acetanilide",Corrosive to metals,Classification not possible,,,,"Classification not possible due to lack of data on the substances with melting points of <55degC (melting point: 40.5-41.5degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
67-56-1,Methanol,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 3,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
123-39-7,N-methylformamide,Corrosive to metals,,,,,0.0,2008.03.24
123-96-6,2-Octanol,Corrosive to metals,Classification not possible,-,-,-,No data available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
144-49-0,fluoroacetic acid,Corrosive to metals,Not classified,-,-,-,"UNRTDG is classified into 6.1 and I according to the UNRTDG No. (2642). Since the information which indicates corrosion behavior was not found, either, it was set as the outside of Category.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
592-85-8,mercury dithiocyanate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
22441-45-8,arsenic pentachloride,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to gas substances are not available,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7697-37-2,Nitric acid,Corrosive to metals,Classification not possible,-,-,-,"There is no data and it cannot be classified. (a stainless steel, aluminum, and glass are durable as a container. Steels, Monel metal, nickels and coppers are corroded. There is a description as (Hommmel (1991)) and it is presumed as Category 1.)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
72-57-1,"tetrasodium 3,3'-[(3,3'-dimethyl[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]",Corrosive to metals,Classification not possible,-,-,-,"Liquid at a test temperature, 55degC. Test methods applicable to solid substances are not available.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-67-8,"1,3,5-Trimethylbenzene",Corrosive to metals,Not classified,,,,Classified into Class 3 (UN#2325) (UN Recommendations on the Transport of Dangerous Goods),"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
12214-12-9,dicadmium selenide sulphide,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
90-04-0,"Aniline, 2-methoxy-",Corrosive to metals,Not classified,-,-,-,"UNRTDG No. 2431, Class: 6.1, PG III","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
782-74-1,"1,2-Bis(2-chlorophenyl)hydrazine",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
109-61-5,propyl chloroformate,Corrosive to metals,Classification not possible,-,-,-,"Classification not possible due to lack of data on tests. UNRTDG No. 2740, Class: 6.1(3, 8), PGI","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
2039-87-4,o-chlorostyrene,Corrosive to metals,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
140-88-5,Ethyl acrylate,Corrosive to metals,Classification not possible,,,,"No data available. Those containing stabilizers are classified into Class 3 (UN Recommendations on the Transport of Dangerous Goods, UN#1917)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
603-34-9,triphenylamine,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
108-88-3,Toluene,Corrosive to metals,Not classified,,,,"Classified into Class 3 (UN Recommendations on the Transport of Dangerous Goods, UN#1294)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
63935-38-6,"alpha-cyano-3-phenoxybenzyl 2,2-dichloro-1-(4-ethoxyphenyl)cyclopropanecarboxylate",Corrosive to metals,Classification not possible,,,,Classification not possible due to lack of data ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
583-91-5,"Butyric acid, 2-hydroxy-4-(methylthio)-",Corrosive to metals,Classification not possible,-,-,-,No data available,"Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
7783-60-0,sulphur tetrafluoride,Corrosive to metals,Classification not possible,-,-,-,"UNRTDG is classified into 2.3 (8) according to the UNRTDG No. (2418). Although ICSC (J)(2003) have the description ""it corrodes metal"", test methods suitable for gaseous substances are not established.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
640-15-3,"S-2-(Ethylthio)ethyl O,O-dimethyl phosphorodithioate; Thiometon",Corrosive to metals,Not classified,,,,"Classified into Division 6.1 (UN#3018 (Organophosphorous Pesticide, liquid, toxic) (ICSC, 1999)) (UN Recommendations on the Transport of Dangerous Goods).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
7631-99-4,Sodium nitrate,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 5.1,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
205-99-2,benz(e)acephenanthrylene,Corrosive to metals,Classification not possible,-,-,-,"Liquid at a test temperature, 55degC. Test methods applicable to solid substances are not available.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID1325,Carboxylic acids(higher fatty acids) barium salts,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
25551-13-7,"Benzene, trimethyl-",Corrosive to metals,Classification not possible,-,-,-,No data available,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
10025-67-9,Disulfur dichloride,Corrosive to metals,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
82-66-6,diphacinone,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID803,polybrominated biphenyl,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
334-48-5,Decanoic acid,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
97-56-3,o-Aminoazotoluene,Corrosive to metals,Classification not possible,-,-,-,"Liquid at a test temperature, 55degC. Test methods applicable to solid substances are not available.","Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
1303-33-9,"arsenic sulphides, natural",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
5598-13-0,"O-3,5,6-trichloro-2-pyridyl O,O-dimethyl phosphorothioate",Corrosive to metals,Classification not possible,,,,"Classification not possible due to lack of data on the substances with melting points of <55degC (melting point: 46degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
7664-39-3,Hydrofluoric acid,Corrosive to metals,Classification not possible,,,,"Test methods applicable to gaseous substances are not available - boiling point: 20degC (ICSC, 2004), test temperature: 55degC (Hydrogen Fluoride) No data available. Corrosivity to metals remains uncertain, though classified as ""corrosive substances"" (as the classification based on UN Recommendations on the Transport of Dangerous Goods includes ""skin corrosivity"") (UN#1790 (Hydrofluoric Acid)) (Hydrofluoric Acid).","Mar. 23, 2006"
75-35-4,"1,1-Dichloroethylene; Vinylydene dichloride",Corrosive to metals,Classification not possible,,,,"Test methods applicable to gaseous substances are not available (boiling point: 32degC (ICSC, 2004), test temperature: 55degC)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
793-24-8,"N-(1,3-Dimethylbutyl)-N'-phenyl-1,4-phenylenediamine",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
7696-12-0,"(1,3-Dioxo-4,5,6,7-tetrahydroisoindolin-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,2009.3.31
65-30-5,nicotine sulphate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
7632-00-0,Sodium nitrite,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
1310-73-2,Sodium hydroxide,Corrosive to metals,Classification not possible,-,-,-,"Test methods applicable to solid substances are not available. UNRTDGClass: 8. Corrosive to Aluminum.(ICSC, 2000)","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
78-93-3,2-Butanone,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 3,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
30776-59-1,Tetradecylbenzenesulphonic acid (C14),Corrosive to metals,Classification not possible,,,,"Classification not possible due to lack of data. Classified into ""Corrosive Substances"" by the UN Recommendations on the Transport of Dangerous Goods. However, the category includes skin corrosivity, and it is unclear whether the substance is classified as ""metal"" corrosive  (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid), UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)).
","Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
2275-14-1,phenkapton,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
25154-54-5,"Benzene, dinitro-",Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
583-52-8,dipotassium oxalate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
